tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres								
tt10402860	tvSeries	Moranbong Club	Moranbong Club	0	2015	2021	\N	Talk-Show								
tt10403242	tvSeries	E How: Dog Training Tips	E How: Dog Training Tips	0	2015	2015	\N	Talk-Show								
tt10403508	tvSeries	Merman Academy	Merman Academy	0	2015	2018	15	Comedy	Fantasy							
tt10404568	tvSeries	Just Write	Just Write	0	2015	\N	\N	Documentary								
tt10405824	tvSeries	Athirshta Lakshmi	Athirshta Lakshmi	0	2015	2018	\N	\N								
tt10405908	tvSeries	Code Red Umeed	Code Red Umeed	0	2015	\N	\N	Crime								
tt10415574	tvSeries	Hell's Kitchen Indonesia	Hell's Kitchen Indonesia	0	2015	2015	\N	Reality-TV								
tt10418336	tvSeries	Tu cara me suena Costa Rica	Tu cara me suena Costa Rica	0	2015	\N	120	Reality-TV								
tt10420184	tvSeries	Éche Así	Éche Así	0	2015	2016	25	Reality-TV								
tt10422208	tvSeries	The Midnight Hour	The Midnight Hour	0	2015	\N	\N	Horror								
tt10422738	tvSeries	+Lucha TV/Produccs Sanchez - Arena Neza 9/16/15	+Lucha TV/Produccs Sanchez - Arena Neza 9/16/15	0	2015	\N	\N	Sport								
tt10422770	tvSeries	+Lucha TV/DTU - De Patria Extrema 9/17/15	+Lucha TV/DTU - De Patria Extrema 9/17/15	0	2015	\N	\N	Sport								
tt10426078	tvSeries	Game of War: Prepare for War	Game of War: Prepare for War	0	2015	\N	\N	Sport								
tt10427082	tvSeries	Yahoo!	Yahoo!	0	2015	\N	\N	News								
tt10427962	tvSeries	One in a Million	One in a Million	0	2015	2017	26	Comedy								
tt10436532	tvSeries	Canal Rugby Club	Canal Rugby Club	0	2015	\N	\N	Sport								
tt10436760	tvSeries	The Morning Mix	The Morning Mix	0	2015	2021	120	Talk-Show								
tt10438040	tvSeries	H.A. Goodman	H.A. Goodman	0	2015	\N	\N	News								
tt10438088	tvSeries	2015-2016 UEFA Champions League	2015-2016 UEFA Champions League	0	2015	2016	\N	Sport								
tt10441504	tvSeries	Ishq-e-Benaam	Ishq-e-Benaam	0	2015	2016	\N	\N								
tt10441568	tvSeries	Maana Ka Gharana	Maana Ka Gharana	0	2015	2016	\N	\N								
tt10441584	tvSeries	Sawaab	Sawaab	0	2015	\N	\N	\N								
tt10441756	tvSeries	Tumhare Siwa	Tumhare Siwa	0	2015	\N	\N	\N								
tt10442036	tvSeries	Blind Covers	Blind Covers	0	2015	\N	\N	Music								
tt10443472	tvSeries	Tere Mere Beech	Tere Mere Beech	0	2015	\N	\N	\N								
tt10443484	tvSeries	Tumhari Natasha	Tumhari Natasha	0	2015	\N	\N	\N								
tt10443486	tvSeries	Dil Ka Kya Rung Karun	Dil Ka Kya Rung Karun	0	2015	\N	\N	\N								
tt10443494	tvSeries	Kitna Satatay Ho	Kitna Satatay Ho	0	2015	\N	\N	\N								
tt10443506	tvSeries	Ek Thi Mishaal	Ek Thi Mishaal	0	2015	\N	\N	\N								
tt10443510	tvSeries	Assi	Assi	0	2015	\N	\N	\N								
tt10443560	tvSeries	Mohabbat Aag Si	Mohabbat Aag Si	0	2015	\N	\N	\N								
tt10443564	tvSeries	Karb	Karb	0	2015	\N	\N	\N								
tt10443592	tvSeries	Kaise Tumse Kahoon	Kaise Tumse Kahoon	0	2015	\N	\N	\N								
tt10443594	tvSeries	Akeli	Akeli	0	2015	\N	\N	\N								
tt10443598	tvSeries	Jugnoo	Jugnoo	0	2015	\N	\N	\N								
tt10443622	tvSeries	Tum Mere Paas Raho	Tum Mere Paas Raho	0	2015	\N	\N	\N								
tt10443632	tvSeries	Preet Na Kariyo Koi	Preet Na Kariyo Koi	0	2015	\N	\N	\N								
tt10443636	tvSeries	Sartaj Mera Tu Raaj Mera	Sartaj Mera Tu Raaj Mera	0	2015	\N	\N	\N								
tt10443644	tvSeries	Mera Dard Na Jane Koi	Mera Dard Na Jane Koi	0	2015	\N	\N	\N								
tt10447374	tvSeries	LunaLove-	LunaLove-	1	2015	\N	\N	Adult								
tt10449498	tvSeries	2015-2016 UEFA Europa League	2015-2016 UEFA Europa League	0	2015	\N	\N	Sport								
tt10450280	tvSeries	Levántate	Levántate	0	2015	2015	200	Game-Show	Music							
tt10452374	tvSeries	IWF Slam	IWF Slam	0	2015	2015	\N	Sport								
tt10453320	tvSeries	2015-2016 Capital One Cup	2015-2016 Capital One Cup	0	2015	2016	\N	Sport								
tt10453764	tvSeries	2015 Under-21 European championship	2015 Under-21 European championship	0	2015	2015	\N	Sport								
tt10453864	tvSeries	AFC Champions League 2015	AFC Champions League 2015	0	2015	2015	\N	Sport								
tt10454188	tvSeries	Premier League Season 2015/2016	Premier League Season 2015/2016	0	2015	2016	\N	Sport								
tt10463610	tvSeries	Os Segredos da Tia Cátia	Os Segredos da Tia Cátia	0	2015	\N	45	Family	Reality-TV							
tt10467764	tvSeries	inD Films Monthly	inD Films Monthly	0	2015	\N	\N	Talk-Show								
tt10468280	tvSeries	Secret Diaries	Secret Diaries	0	2015	2016	\N	Drama								
tt10471066	tvSeries	Blow Bang Girls	Blow Bang Girls	1	2015	\N	\N	Adult								
tt10478276	tvSeries	C'est juste du web	C'est juste du web	0	2015	\N	\N	Talk-Show								
tt10478398	tvSeries	Khonjin House	Khonjin House	0	2015	2021	\N	Animation	Comedy							
tt10482028	tvSeries	Tendance XXI	Tendance XXI	0	2015	\N	26	Documentary	News							
tt10482448	tvSeries	Morar Mundo	Morar Mundo	0	2015	2015	\N	Documentary								
tt10489712	tvSeries	2015-2016 Bundesliga	2015-2016 Bundesliga	0	2015	2016	90	Sport								
tt10489940	tvSeries	Asian Qualifiers: 2018 FIFA World Cup Russia	Asian Qualifiers: 2018 FIFA World Cup Russia	0	2015	2017	90	Sport								
tt10499164	tvSeries	Bare Naked Reviews	Bare Naked Reviews	0	2015	2016	\N	News								
tt10499180	tvSeries	Dreambubble Media News & Events	Dreambubble Media News & Events	0	2015	\N	\N	News								
tt10499374	tvSeries	André Darkholme	André Darkholme	0	2015	\N	10	Reality-TV								
tt10499386	tvSeries	Tommy Bouskins	Tommy Bouskins	0	2015	\N	5	Music								
tt10504942	tvSeries	TVEmos	TVEmos	0	2015	\N	\N	Talk-Show								
tt10509848	tvSeries	Beauty and the Beach	Beauty and the Beach	0	2015	2017	\N	Documentary								
tt10513276	tvSeries	Delivery Solidario	Delivery Solidario	0	2015	2016	\N	Reality-TV								
tt10531738	tvSeries	Creedon's Wild Atlantic Way	Creedon's Wild Atlantic Way	0	2015	2015	\N	Adventure								
tt10533118	tvSeries	Volando voy	Volando voy	0	2015	2023	\N	Adventure	Documentary	Reality-TV						
